ga_label,ga_weeks,measure,sex,value,z_level
27,27.0,hc,male,19.57,-3.0
27,27.0,hc,male,21.31,-2.0
27,27.0,hc,male,23.04,-1.0
27,27.0,hc,male,24.78,0.0
27,27.0,hc,male,26.51,1.0
27,27.0,hc,male,28.24,2.0
27,27.0,hc,male,29.98,3.0
28,28.0,hc,male,21.11,-3.0
28,28.0,hc,male,22.71,-2.0
28,28.0,hc,male,24.31,-1.0
28,28.0,hc,male,25.9,0.0
28,28.0,hc,male,27.5,1.0
28,28.0,hc,male,29.1,2.0
28,28.0,hc,male,30.69,3.0
29,29.0,hc,male,22.51,-3.0
29,29.0,hc,male,23.99,-2.0
29,29.0,hc,male,25.47,-1.0
29,29.0,hc,male,26.95,0.0
29,29.0,hc,male,28.43,1.0
29,29.0,hc,male,29.91,2.0
29,29.0,hc,male,31.4,3.0
30,30.0,hc,male,23.78,-3.0
30,30.0,hc,male,25.16,-2.0
30,30.0,hc,male,26.55,-1.0
30,30.0,hc,male,27.93,0.0
30,30.0,hc,male,29.32,1.0
30,30.0,hc,male,30.7,2.0
30,30.0,hc,male,32.08,3.0
31,31.0,hc,male,24.94,-3.0
31,31.0,hc,male,26.24,-2.0
31,31.0,hc,male,27.55,-1.0
31,31.0,hc,male,28.85,0.0
31,31.0,hc,male,30.15,1.0
31,31.0,hc,male,31.45,2.0
31,31.0,hc,male,32.75,3.0
32,32.0,hc,male,26.0,-3.0
32,32.0,hc,male,27.24,-2.0
32,32.0,hc,male,28.47,-1.0
32,32.0,hc,male,29.71,0.0
32,32.0,hc,male,30.94,1.0
32,32.0,hc,male,32.17,2.0
32,32.0,hc,male,33.41,3.0
33,33.0,hc,male,26.98,-3.0
33,33.0,hc,male,28.16,-2.0
33,33.0,hc,male,29.34,-1.0
33,33.0,hc,male,30.51,0.0
33,33.0,hc,male,31.69,1.0
33,33.0,hc,male,32.87,2.0
33,33.0,hc,male,34.05,3.0
34,34.0,hc,male,27.88,-3.0
34,34.0,hc,male,29.01,-2.0
34,34.0,hc,male,30.14,-1.0
34,34.0,hc,male,31.27,0.0
34,34.0,hc,male,32.4,1.0
34,34.0,hc,male,33.53,2.0
34,34.0,hc,male,34.66,3.0
35,35.0,hc,male,28.72,-3.0
35,35.0,hc,male,29.81,-2.0
35,35.0,hc,male,30.9,-1.0
35,35.0,hc,male,31.99,0.0
35,35.0,hc,male,33.08,1.0
35,35.0,hc,male,34.17,2.0
35,35.0,hc,male,35.26,3.0
36,36.0,hc,male,29.49,-3.0
36,36.0,hc,male,30.55,-2.0
36,36.0,hc,male,31.61,-1.0
36,36.0,hc,male,32.67,0.0
36,36.0,hc,male,33.72,1.0
36,36.0,hc,male,34.78,2.0
36,36.0,hc,male,35.84,3.0
37,37.0,hc,male,30.2,-3.0
37,37.0,hc,male,31.24,-2.0
37,37.0,hc,male,32.27,-1.0
37,37.0,hc,male,33.3,0.0
37,37.0,hc,male,34.34,1.0
37,37.0,hc,male,35.37,2.0
37,37.0,hc,male,36.41,3.0
38,38.0,hc,male,30.87,-3.0
38,38.0,hc,male,31.88,-2.0
38,38.0,hc,male,32.9,-1.0
38,38.0,hc,male,33.91,0.0
38,38.0,hc,male,34.93,1.0
38,38.0,hc,male,35.94,2.0
38,38.0,hc,male,36.95,3.0
39,39.0,hc,male,31.49,-3.0
39,39.0,hc,male,32.49,-2.0
39,39.0,hc,male,33.49,-1.0
39,39.0,hc,male,34.49,0.0
39,39.0,hc,male,35.48,1.0
39,39.0,hc,male,36.48,2.0
39,39.0,hc,male,37.48,3.0
40,40.0,hc,male,32.07,-3.0
40,40.0,hc,male,33.06,-2.0
40,40.0,hc,male,34.04,-1.0
40,40.0,hc,male,35.03,0.0
40,40.0,hc,male,36.02,1.0
40,40.0,hc,male,37.01,2.0
40,40.0,hc,male,38.0,3.0
41,41.0,hc,male,32.61,-3.0
41,41.0,hc,male,33.59,-2.0
41,41.0,hc,male,34.57,-1.0
41,41.0,hc,male,35.55,0.0
41,41.0,hc,male,36.53,1.0
41,41.0,hc,male,37.51,2.0
41,41.0,hc,male,38.49,3.0
42,42.0,hc,male,33.12,-3.0
42,42.0,hc,male,34.09,-2.0
42,42.0,hc,male,35.07,-1.0
42,42.0,hc,male,36.05,0.0
42,42.0,hc,male,37.02,1.0
42,42.0,hc,male,38.0,2.0
42,42.0,hc,male,38.97,3.0
43,43.0,hc,male,33.6,-3.0
43,43.0,hc,male,34.57,-2.0
43,43.0,hc,male,35.54,-1.0
43,43.0,hc,male,36.52,0.0
43,43.0,hc,male,37.49,1.0
43,43.0,hc,male,38.47,2.0
43,43.0,hc,male,39.44,3.0
44,44.0,hc,male,34.05,-3.0
44,44.0,hc,male,35.02,-2.0
44,44.0,hc,male,35.99,-1.0
44,44.0,hc,male,36.97,0.0
44,44.0,hc,male,37.94,1.0
44,44.0,hc,male,38.92,2.0
44,44.0,hc,male,39.89,3.0
45,45.0,hc,male,34.47,-3.0
45,45.0,hc,male,35.45,-2.0
45,45.0,hc,male,36.42,-1.0
45,45.0,hc,male,37.4,0.0
45,45.0,hc,male,38.38,1.0
45,45.0,hc,male,39.35,2.0
45,45.0,hc,male,40.33,3.0
46,46.0,hc,male,34.87,-3.0
46,46.0,hc,male,35.85,-2.0
46,46.0,hc,male,36.83,-1.0
46,46.0,hc,male,37.81,0.0
46,46.0,hc,male,38.79,1.0
46,46.0,hc,male,39.77,2.0
46,46.0,hc,male,40.75,3.0
47,47.0,hc,male,35.24,-3.0
47,47.0,hc,male,36.23,-2.0
47,47.0,hc,male,37.22,-1.0
47,47.0,hc,male,38.2,0.0
47,47.0,hc,male,39.19,1.0
47,47.0,hc,male,40.18,2.0
47,47.0,hc,male,41.16,3.0
48,48.0,hc,male,35.6,-3.0
48,48.0,hc,male,36.59,-2.0
48,48.0,hc,male,37.59,-1.0
48,48.0,hc,male,38.58,0.0
48,48.0,hc,male,39.58,1.0
48,48.0,hc,male,40.57,2.0
48,48.0,hc,male,41.56,3.0
49,49.0,hc,male,35.94,-3.0
49,49.0,hc,male,36.94,-2.0
49,49.0,hc,male,37.94,-1.0
49,49.0,hc,male,38.94,0.0
49,49.0,hc,male,39.95,1.0
49,49.0,hc,male,40.95,2.0
49,49.0,hc,male,41.95,3.0
50,50.0,hc,male,36.26,-3.0
50,50.0,hc,male,37.27,-2.0
50,50.0,hc,male,38.28,-1.0
50,50.0,hc,male,39.29,0.0
50,50.0,hc,male,40.3,1.0
50,50.0,hc,male,41.31,2.0
50,50.0,hc,male,42.32,3.0
51,51.0,hc,male,36.56,-3.0
51,51.0,hc,male,37.58,-2.0
51,51.0,hc,male,38.6,-1.0
51,51.0,hc,male,39.63,0.0
51,51.0,hc,male,40.65,1.0
51,51.0,hc,male,41.67,2.0
51,51.0,hc,male,42.69,3.0
52,52.0,hc,male,36.85,-3.0
52,52.0,hc,male,37.88,-2.0
52,52.0,hc,male,38.92,-1.0
52,52.0,hc,male,39.95,0.0
52,52.0,hc,male,40.98,1.0
52,52.0,hc,male,42.01,2.0
52,52.0,hc,male,43.04,3.0
53,53.0,hc,male,37.13,-3.0
53,53.0,hc,male,38.17,-2.0
53,53.0,hc,male,39.21,-1.0
53,53.0,hc,male,40.26,0.0
53,53.0,hc,male,41.3,1.0
53,53.0,hc,male,42.34,2.0
53,53.0,hc,male,43.39,3.0
54,54.0,hc,male,37.39,-3.0
54,54.0,hc,male,38.44,-2.0
54,54.0,hc,male,39.5,-1.0
54,54.0,hc,male,40.55,0.0
54,54.0,hc,male,41.61,1.0
54,54.0,hc,male,42.66,2.0
54,54.0,hc,male,43.72,3.0
55,55.0,hc,male,37.64,-3.0
55,55.0,hc,male,38.71,-2.0
55,55.0,hc,male,39.77,-1.0
55,55.0,hc,male,40.84,0.0
55,55.0,hc,male,41.91,1.0
55,55.0,hc,male,42.98,2.0
55,55.0,hc,male,44.04,3.0
56,56.0,hc,male,37.88,-3.0
56,56.0,hc,male,38.96,-2.0
56,56.0,hc,male,40.04,-1.0
56,56.0,hc,male,41.12,0.0
56,56.0,hc,male,42.2,1.0
56,56.0,hc,male,43.28,2.0
56,56.0,hc,male,44.36,3.0
57,57.0,hc,male,38.1,-3.0
57,57.0,hc,male,39.2,-2.0
57,57.0,hc,male,40.29,-1.0
57,57.0,hc,male,41.38,0.0
57,57.0,hc,male,42.48,1.0
57,57.0,hc,male,43.57,2.0
57,57.0,hc,male,44.67,3.0
58,58.0,hc,male,38.32,-3.0
58,58.0,hc,male,39.43,-2.0
58,58.0,hc,male,40.53,-1.0
58,58.0,hc,male,41.64,0.0
58,58.0,hc,male,42.75,1.0
58,58.0,hc,male,43.86,2.0
58,58.0,hc,male,44.96,3.0
59,59.0,hc,male,38.53,-3.0
59,59.0,hc,male,39.65,-2.0
59,59.0,hc,male,40.77,-1.0
59,59.0,hc,male,41.89,0.0
59,59.0,hc,male,43.01,1.0
59,59.0,hc,male,44.13,2.0
59,59.0,hc,male,45.25,3.0
60,60.0,hc,male,38.73,-3.0
60,60.0,hc,male,39.86,-2.0
60,60.0,hc,male,41.0,-1.0
60,60.0,hc,male,42.13,0.0
60,60.0,hc,male,43.27,1.0
60,60.0,hc,male,44.4,2.0
60,60.0,hc,male,45.54,3.0
61,61.0,hc,male,38.92,-3.0
61,61.0,hc,male,40.07,-2.0
61,61.0,hc,male,41.22,-1.0
61,61.0,hc,male,42.36,0.0
61,61.0,hc,male,43.51,1.0
61,61.0,hc,male,44.66,2.0
61,61.0,hc,male,45.81,3.0
62,62.0,hc,male,39.1,-3.0
62,62.0,hc,male,40.26,-2.0
62,62.0,hc,male,41.43,-1.0
62,62.0,hc,male,42.59,0.0
62,62.0,hc,male,43.75,1.0
62,62.0,hc,male,44.92,2.0
62,62.0,hc,male,46.08,3.0
63,63.0,hc,male,39.28,-3.0
63,63.0,hc,male,40.45,-2.0
63,63.0,hc,male,41.63,-1.0
63,63.0,hc,male,42.81,0.0
63,63.0,hc,male,43.99,1.0
63,63.0,hc,male,45.16,2.0
63,63.0,hc,male,46.34,3.0
64,64.0,hc,male,39.44,-3.0
64,64.0,hc,male,40.64,-2.0
64,64.0,hc,male,41.83,-1.0
64,64.0,hc,male,43.02,0.0
64,64.0,hc,male,44.21,1.0
64,64.0,hc,male,45.4,2.0
64,64.0,hc,male,46.59,3.0
27,27.0,hc,female,18.78,-3.0
28,28.0,hc,female,20.32,-3.0
29,29.0,hc,female,21.71,-3.0
30,30.0,hc,female,22.98,-3.0
31,31.0,hc,female,24.15,-3.0
32,32.0,hc,female,25.21,-3.0
33,33.0,hc,female,26.19,-3.0
34,34.0,hc,female,27.09,-3.0
35,35.0,hc,female,27.92,-3.0
36,36.0,hc,female,28.69,-3.0
37,37.0,hc,female,29.41,-3.0
38,38.0,hc,female,30.07,-3.0
39,39.0,hc,female,30.69,-3.0
40,40.0,hc,female,31.27,-3.0
41,41.0,hc,female,31.81,-3.0
42,42.0,hc,female,32.32,-3.0
43,43.0,hc,female,32.8,-3.0
44,44.0,hc,female,33.25,-3.0
45,45.0,hc,female,33.67,-3.0
46,46.0,hc,female,34.07,-3.0
47,47.0,hc,female,34.45,-3.0
48,48.0,hc,female,34.81,-3.0
49,49.0,hc,female,35.14,-3.0
50,50.0,hc,female,35.46,-3.0
51,51.0,hc,female,35.77,-3.0
52,52.0,hc,female,36.06,-3.0
53,53.0,hc,female,36.33,-3.0
54,54.0,hc,female,36.59,-3.0
55,55.0,hc,female,36.84,-3.0
56,56.0,hc,female,37.08,-3.0
57,57.0,hc,female,37.31,-3.0
58,58.0,hc,female,37.52,-3.0
59,59.0,hc,female,37.73,-3.0
60,60.0,hc,female,37.93,-3.0
61,61.0,hc,female,38.12,-3.0
62,62.0,hc,female,38.3,-3.0
63,63.0,hc,female,38.48,-3.0
64,64.0,hc,female,38.65,-3.0
27,27.0,hc,female,20.51,-2.0
28,28.0,hc,female,21.91,-2.0
29,29.0,hc,female,23.19,-2.0
30,30.0,hc,female,24.37,-2.0
31,31.0,hc,female,25.45,-2.0
32,32.0,hc,female,26.44,-2.0
33,33.0,hc,female,27.36,-2.0
34,34.0,hc,female,28.22,-2.0
35,35.0,hc,female,29.01,-2.0
36,36.0,hc,female,29.75,-2.0
37,37.0,hc,female,30.44,-2.0
38,38.0,hc,female,31.09,-2.0
39,39.0,hc,female,31.69,-2.0
40,40.0,hc,female,32.26,-2.0
41,41.0,hc,female,32.79,-2.0
42,42.0,hc,female,33.3,-2.0
43,43.0,hc,female,33.77,-2.0
44,44.0,hc,female,34.22,-2.0
45,45.0,hc,female,34.65,-2.0
46,46.0,hc,female,35.05,-2.0
47,47.0,hc,female,35.44,-2.0
48,48.0,hc,female,35.8,-2.0
49,49.0,hc,female,36.14,-2.0
50,50.0,hc,female,36.47,-2.0
51,51.0,hc,female,36.79,-2.0
52,52.0,hc,female,37.09,-2.0
53,53.0,hc,female,37.37,-2.0
54,54.0,hc,female,37.65,-2.0
55,55.0,hc,female,37.91,-2.0
56,56.0,hc,female,38.16,-2.0
57,57.0,hc,female,38.4,-2.0
58,58.0,hc,female,38.63,-2.0
59,59.0,hc,female,38.85,-2.0
60,60.0,hc,female,39.07,-2.0
61,61.0,hc,female,39.27,-2.0
62,62.0,hc,female,39.47,-2.0
63,63.0,hc,female,39.66,-2.0
64,64.0,hc,female,39.84,-2.0
27,27.0,hc,female,22.25,-1.0
28,28.0,hc,female,23.51,-1.0
29,29.0,hc,female,24.68,-1.0
30,30.0,hc,female,25.75,-1.0
31,31.0,hc,female,26.75,-1.0
32,32.0,hc,female,27.68,-1.0
33,33.0,hc,female,28.54,-1.0
34,34.0,hc,female,29.35,-1.0
35,35.0,hc,female,30.1,-1.0
36,36.0,hc,female,30.81,-1.0
37,37.0,hc,female,31.47,-1.0
38,38.0,hc,female,32.1,-1.0
39,39.0,hc,female,32.69,-1.0
40,40.0,hc,female,33.25,-1.0
41,41.0,hc,female,33.78,-1.0
42,42.0,hc,female,34.27,-1.0
43,43.0,hc,female,34.75,-1.0
44,44.0,hc,female,35.2,-1.0
45,45.0,hc,female,35.63,-1.0
46,46.0,hc,female,36.03,-1.0
47,47.0,hc,female,36.42,-1.0
48,48.0,hc,female,36.79,-1.0
49,49.0,hc,female,37.15,-1.0
50,50.0,hc,female,37.49,-1.0
51,51.0,hc,female,37.81,-1.0
52,52.0,hc,female,38.12,-1.0
53,53.0,hc,female,38.42,-1.0
54,54.0,hc,female,38.7,-1.0
55,55.0,hc,female,38.98,-1.0
56,56.0,hc,female,39.24,-1.0
57,57.0,hc,female,39.49,-1.0
58,58.0,hc,female,39.74,-1.0
59,59.0,hc,female,39.97,-1.0
60,60.0,hc,female,40.2,-1.0
61,61.0,hc,female,40.42,-1.0
62,62.0,hc,female,40.63,-1.0
63,63.0,hc,female,40.83,-1.0
64,64.0,hc,female,41.03,-1.0
27,27.0,hc,female,23.98,0.0
28,28.0,hc,female,25.11,0.0
29,29.0,hc,female,26.16,0.0
30,30.0,hc,female,27.14,0.0
31,31.0,hc,female,28.05,0.0
32,32.0,hc,female,28.91,0.0
33,33.0,hc,female,29.72,0.0
34,34.0,hc,female,30.48,0.0
35,35.0,hc,female,31.19,0.0
36,36.0,hc,female,31.87,0.0
37,37.0,hc,female,32.51,0.0
38,38.0,hc,female,33.11,0.0
39,39.0,hc,female,33.69,0.0
40,40.0,hc,female,34.24,0.0
41,41.0,hc,female,34.76,0.0
42,42.0,hc,female,35.25,0.0
43,43.0,hc,female,35.72,0.0
44,44.0,hc,female,36.17,0.0
45,45.0,hc,female,36.6,0.0
46,46.0,hc,female,37.01,0.0
47,47.0,hc,female,37.41,0.0
48,48.0,hc,female,37.79,0.0
49,49.0,hc,female,38.15,0.0
50,50.0,hc,female,38.5,0.0
51,51.0,hc,female,38.83,0.0
52,52.0,hc,female,39.15,0.0
53,53.0,hc,female,39.46,0.0
54,54.0,hc,female,39.76,0.0
55,55.0,hc,female,40.05,0.0
56,56.0,hc,female,40.32,0.0
57,57.0,hc,female,40.59,0.0
58,58.0,hc,female,40.85,0.0
59,59.0,hc,female,41.1,0.0
60,60.0,hc,female,41.34,0.0
61,61.0,hc,female,41.57,0.0
62,62.0,hc,female,41.79,0.0
63,63.0,hc,female,42.01,0.0
64,64.0,hc,female,42.22,0.0
27,27.0,hc,female,25.71,1.0
28,28.0,hc,female,26.7,1.0
29,29.0,hc,female,27.64,1.0
30,30.0,hc,female,28.52,1.0
31,31.0,hc,female,29.35,1.0
32,32.0,hc,female,30.15,1.0
33,33.0,hc,female,30.89,1.0
34,34.0,hc,female,31.61,1.0
35,35.0,hc,female,32.28,1.0
36,36.0,hc,female,32.93,1.0
37,37.0,hc,female,33.54,1.0
38,38.0,hc,female,34.13,1.0
39,39.0,hc,female,34.69,1.0
40,40.0,hc,female,35.22,1.0
41,41.0,hc,female,35.74,1.0
42,42.0,hc,female,36.23,1.0
43,43.0,hc,female,36.7,1.0
44,44.0,hc,female,37.15,1.0
45,45.0,hc,female,37.58,1.0
46,46.0,hc,female,38.0,1.0
47,47.0,hc,female,38.39,1.0
48,48.0,hc,female,38.78,1.0
49,49.0,hc,female,39.15,1.0
50,50.0,hc,female,39.51,1.0
51,51.0,hc,female,39.85,1.0
52,52.0,hc,female,40.18,1.0
53,53.0,hc,female,40.5,1.0
54,54.0,hc,female,40.81,1.0
55,55.0,hc,female,41.11,1.0
56,56.0,hc,female,41.4,1.0
57,57.0,hc,female,41.68,1.0
58,58.0,hc,female,41.95,1.0
59,59.0,hc,female,42.22,1.0
60,60.0,hc,female,42.47,1.0
61,61.0,hc,female,42.72,1.0
62,62.0,hc,female,42.96,1.0
63,63.0,hc,female,43.19,1.0
64,64.0,hc,female,43.42,1.0
27,27.0,hc,female,27.45,2.0
28,28.0,hc,female,28.3,2.0
29,29.0,hc,female,29.12,2.0
30,30.0,hc,female,29.9,2.0
31,31.0,hc,female,30.66,2.0
32,32.0,hc,female,31.38,2.0
33,33.0,hc,female,32.07,2.0
34,34.0,hc,female,32.74,2.0
35,35.0,hc,female,33.38,2.0
36,36.0,hc,female,33.99,2.0
37,37.0,hc,female,34.58,2.0
38,38.0,hc,female,35.14,2.0
39,39.0,hc,female,35.69,2.0
40,40.0,hc,female,36.21,2.0
41,41.0,hc,female,36.72,2.0
42,42.0,hc,female,37.2,2.0
43,43.0,hc,female,37.67,2.0
44,44.0,hc,female,38.12,2.0
45,45.0,hc,female,38.56,2.0
46,46.0,hc,female,38.98,2.0
47,47.0,hc,female,39.38,2.0
48,48.0,hc,female,39.77,2.0
49,49.0,hc,female,40.15,2.0
50,50.0,hc,female,40.52,2.0
51,51.0,hc,female,40.87,2.0
52,52.0,hc,female,41.22,2.0
53,53.0,hc,female,41.55,2.0
54,54.0,hc,female,41.87,2.0
55,55.0,hc,female,42.18,2.0
56,56.0,hc,female,42.48,2.0
57,57.0,hc,female,42.78,2.0
58,58.0,hc,female,43.06,2.0
59,59.0,hc,female,43.34,2.0
60,60.0,hc,female,43.61,2.0
61,61.0,hc,female,43.87,2.0
62,62.0,hc,female,44.12,2.0
63,63.0,hc,female,44.37,2.0
64,64.0,hc,female,44.61,2.0
27,27.0,hc,female,29.18,3.0
28,28.0,hc,female,29.9,3.0
29,29.0,hc,female,30.6,3.0
30,30.0,hc,female,31.29,3.0
31,31.0,hc,female,31.96,3.0
32,32.0,hc,female,32.61,3.0
33,33.0,hc,female,33.25,3.0
34,34.0,hc,female,33.87,3.0
35,35.0,hc,female,34.47,3.0
36,36.0,hc,female,35.05,3.0
37,37.0,hc,female,35.61,3.0
38,38.0,hc,female,36.16,3.0
39,39.0,hc,female,36.69,3.0
40,40.0,hc,female,37.2,3.0
41,41.0,hc,female,37.7,3.0
42,42.0,hc,female,38.18,3.0
43,43.0,hc,female,38.64,3.0
44,44.0,hc,female,39.09,3.0
45,45.0,hc,female,39.53,3.0
46,46.0,hc,female,39.96,3.0
47,47.0,hc,female,40.37,3.0
48,48.0,hc,female,40.77,3.0
49,49.0,hc,female,41.15,3.0
50,50.0,hc,female,41.53,3.0
51,51.0,hc,female,41.89,3.0
52,52.0,hc,female,42.25,3.0
53,53.0,hc,female,42.59,3.0
54,54.0,hc,female,42.92,3.0
55,55.0,hc,female,43.25,3.0
56,56.0,hc,female,43.56,3.0
57,57.0,hc,female,43.87,3.0
58,58.0,hc,female,44.17,3.0
59,59.0,hc,female,44.46,3.0
60,60.0,hc,female,44.74,3.0
61,61.0,hc,female,45.02,3.0
62,62.0,hc,female,45.28,3.0
63,63.0,hc,female,45.54,3.0
64,64.0,hc,female,45.8,3.0
27,27.0,length,male,26.59,-3.0
27,27.0,length,male,28.49,-2.0
27,27.0,length,male,30.53,-1.0
27,27.0,length,male,32.71,0.0
27,27.0,length,male,35.05,1.0
27,27.0,length,male,37.56,2.0
27,27.0,length,male,40.25,3.0
28,28.0,length,male,28.56,-3.0
28,28.0,length,male,30.44,-2.0
28,28.0,length,male,32.44,-1.0
28,28.0,length,male,34.57,0.0
28,28.0,length,male,36.84,1.0
28,28.0,length,male,39.26,2.0
28,28.0,length,male,41.84,3.0
29,29.0,length,male,30.45,-3.0
29,29.0,length,male,32.3,-2.0
29,29.0,length,male,34.26,-1.0
29,29.0,length,male,36.34,0.0
29,29.0,length,male,38.55,1.0
29,29.0,length,male,40.89,2.0
29,29.0,length,male,43.37,3.0
30,30.0,length,male,32.24,-3.0
30,30.0,length,male,34.06,-2.0
30,30.0,length,male,35.99,-1.0
30,30.0,length,male,38.02,0.0
30,30.0,length,male,40.17,1.0
30,30.0,length,male,42.45,2.0
30,30.0,length,male,44.85,3.0
31,31.0,length,male,33.93,-3.0
31,31.0,length,male,35.73,-2.0
31,31.0,length,male,37.63,-1.0
31,31.0,length,male,39.62,0.0
31,31.0,length,male,41.72,1.0
31,31.0,length,male,43.93,2.0
31,31.0,length,male,46.26,3.0
32,32.0,length,male,35.54,-3.0
32,32.0,length,male,37.31,-2.0
32,32.0,length,male,39.18,-1.0
32,32.0,length,male,41.14,0.0
